School Name,Town,Religious Denomination,Percentage of pupils with LOW achievement at Key Stage 2,Percentage of pupils with MEDIUM achievement at Key Stage 2,Percentage of pupils with HIGH achievement at Key Stage 2,Percentage of pupils receiving FREE SCHOOL MEALS (i.e. from disadvantaged backgrounds),Percentage of pupils with ENGLISH AS AN ADDITIONAL LANGUAGE
Ab Kettleby School,Melton Mowbray,Does not apply,0.09,0.55,0.36,0.36,0.00
"The Latimer Primary School, Anstey",Leicester,Does not apply,0.02,0.64,0.33,0.31,0.00
Meadowdale Primary School,Market Harborough,Does not apply,0.08,0.41,0.51,0.05,0.03
Greenfield Primary School,Leicester,Does not apply,0.05,0.59,0.35,0.14,0.01
Asfordby Hill Primary School,Melton Mowbray,Does not apply,0.00,0.65,0.35,0.17,0.00
Millfield L.E.A.D. Academy,Leicester,Does not apply,0.13,0.50,0.38,0.19,0.28
Albert Village Primary School,Swadlincote,Does not apply,0.07,0.56,0.37,0.18,0.00
Moira Primary School,Swadlincote,Does not apply,0.06,0.65,0.29,0.39,0.00
Beacon Academy,Loughborough,Does not apply,0.21,0.60,0.19,0.53,0.12
Thornton Primary School,Coalville,Does not apply,0.05,0.68,0.26,0.16,0.00
St Mary's Church of England Primary School,Melton Mowbray,Church of England,0.27,0.46,0.27,0.23,0.00
St Simon and St Jude CofE Primary School,Leicester,Church of England,0.13,0.52,0.35,0.55,0.00
Glenfield Primary School,Leicester,Does not apply,0.09,0.61,0.30,0.20,0.04
Barlestone Church of England Primary School,Nuneaton,Church of England,0.05,0.67,0.29,0.24,0.05
Woolden Hill Primary School,Leicester,Does not apply,0.08,0.67,0.25,0.28,0.00
Bringhurst Primary School,Market Harborough,Does not apply,0.00,0.50,0.50,0.15,0.00
Buckminster Primary School,Grantham,Does not apply,0.06,0.71,0.24,0.12,0.00
Great Dalby School,Melton Mowbray,Does not apply,0.00,0.57,0.43,0.14,0.00
Burton-on-the-Wolds Primary School,Loughborough,Does not apply,0.04,0.46,0.50,0.12,0.00
Belvoirdale Community Primary School,Coalville,Does not apply,0.15,0.56,0.29,0.26,0.26
Christ Church & Saint Peter's Cofe Primary School,Loughborough,Church of England,0.13,0.55,0.31,0.18,0.00
Ellistown Community Primary School,Coalville,Does not apply,0.00,0.58,0.42,0.10,0.03
Hugglescote Community Primary School,Coalville,Does not apply,0.18,0.58,0.25,0.23,0.00
Woodstone Community Primary School,Coalville,Does not apply,0.03,0.55,0.42,0.19,0.00
New Swannington Primary School,Coalville,Does not apply,0.04,0.58,0.38,0.07,0.00
Griffydam Primary School,Coalville,Does not apply,0.00,0.64,0.36,0.00,0.00
Cosby Primary School,Leicester,Does not apply,0.14,0.53,0.33,0.17,0.00
Desford Community Primary School,Leicester,Does not apply,0.04,0.55,0.42,0.13,0.02
Blackfordby St Margaret's Church of England Primary School,Swadlincote,Church of England,0.15,0.77,0.08,0.38,0.00
Dunton Bassett Primary School,Lutterworth,Does not apply,0.13,0.60,0.27,0.20,0.00
Sherard Primary School,Melton Mowbray,Does not apply,0.37,0.34,0.29,0.33,0.05
Foxton Primary School,Market Harborough,Does not apply,0.00,0.70,0.30,0.09,0.00
Gaddesby Primary School,Leicester,Does not apply,0.00,0.75,0.25,0.00,0.00
Blaby Stokes Church of England Primary School,Leicester,Church of England,0.00,0.68,0.32,0.25,0.04
Martinshaw Primary School,Leicester,Does not apply,0.10,0.61,0.29,0.13,0.03
